EntryID,ID,Response_1,Response_2,Response_3
222,890,1,2,3
230,895,2,3,5
228,909,1,2,3
235,982,1,3,5
234,992,1,3,5
237,1000,1,3,5
236,1004,1,4,5
239,1016,1,3,5
241,1027,1,2,4
242,1034,1,3,5
245,1041,2,3,5
246,1043,1,3,5
247,1047,2,3,5
248,1055,1,3,5
249,1059,1,2,5
250,1060,1,3,5
252,1064,1,3,5
253,1065,1,3,5
254,1069,1,3,5
256,1073,1,4,5
257,1074,1,2,5
258,1075,2,3,5
260,1079,2,3,5
264,1085,1,3,5
265,1086,1,4,5
267,1090,3,5,
269,1096,1,3,5
270,1105,2,3,5
271,1116,1,3,5
273,1120,1,3,5
274,1127,3,4,
275,1129,2,3,5
277,1132,2,3,
281,1160,3,4,
282,1167,1,3,5
284,1173,1,3,5
285,1176,1,3,5
286,1179,1,4,5
287,1181,1,4,
288,1185,1,2,5
291,1186,1,4,5
292,1187,1,3,5
293,1188,2,3,5
294,1189,1,3,5
295,1190,1,3,5
297,1205,1,2,3
298,1206,1,3, 
300,1211,2,5, 
303,1220,1,3,5
306,1229,1,3,5
307,1231,1,3,5
308,1232,2,3,5
309,1233,1,3,5
310,1234,1,3,5
311,1235,1,3,5
312,1236,1,3,5
313,1237,1,5, 
314,1238,1,3,5
315,1240,2,3,5
316,1243,1,2,4
317,1247,2,3,5
318,1249,2,3,5
319,1250,2,3,5
321,1253,1,5, 
322,1254,1,3,5
323,1255,1,3,5
324,1256,1,3,5
325,1257,4,5, 
327,1259,1,3,5
328,1262,1,2,4
329,1264,1,2,4
330,1265,1,2,5
331,1267,1,2,4
