EntryID,ID,Response_1,Response_2,Response_3,Response_4,Response_5,Response_6
19,43,1,3,5,7,8,10
20,46,1,3,4,8,,
22,52,2,4,7,10,,
23,56,1,3,5,7,8,10
24,67,3,4,8,9,,
25,69,2,3,8,9,,
26,77,3,4,7,8,10,
28,80,1,3,4,8,,
27,85,3,4,7,8,10,
29,89,3,4,5,7,8,
32,95,3,4,7,8,10,
31,96,3,4,5,7,8,
33,106,3,4,8,9,,
34,107,1,2,3,5,7,
35,110,3,4,5,7,8,
37,117,4,5,7,8,10,
36,118,3,4,7,9,,
38,119,1,4,6,,,
39,125,1,3,8,,,
40,126,1,4,6,,,
41,127,5,6,7,8,10,
43,130,3,4,5,7,8,
44,134,3,4,5,7,8,
45,136,4,7,9,,,
47,141,1,3,5,7,8,10
48,143,3,4,5,8,10,
49,146,3,4,8,9,,
50,152,3,4,5,8,10,
51,158,4,6,8,,,
53,160,3,4,8,9,,
54,168,1,3,5,7,8,10
55,171,3,4,5,7,8,
56,175,3,4,8,9,,
57,178,4,7,8,9,,
58,180,2,5,8,9,,
59,182,4,6,9,,,
62,187,3,7,8,9,,
65,200,3,4,5,7,8,
66,204,1,3,8,9,10,
67,207,1,3,4,5,7,
69,210,3,4,7,8,10,
68,211,1,2,3,5,7,
70,212,4,6,8,,,
71,213,1,3,7,8,9, 
72,214,1,5,6,7,10, 
1049,1148,3,4,5,7,8, 
1050,1149,1,3,4,8, ,
1052,1151,1,2,3,10, ,
1054,1152,2,6,9, ,,
1055,1153,2,3,4,5, ,
1056,1154,3,5,6,7,8, 
1057,1155,3,4,5,7,8, 
1061,1166,1,3,4,5,7, 
1062,1167,2,3,5,7,8, 
1063,1168,3,4,5,7,8, 
1064,1170,3,4,7,8,10, 
1065,1171,3,4,5,7,8, 
1066,1172,3,5,7, ,,
1067,1173,1,3,5,7,8,10
1068,1174,3,4,5,7,8, 
1069,1175,1,6,10, ,,
1070,1176,1,6,9,10, ,
1071,1177,1,4,7,8, ,
1072,1178,2,4, ,,,
1073,1179,2,10, ,,,
1074,1180,3,4,5,7,8, 
1075,1182,3,4,5,7,8, 
1077,1183,1,4,6, ,,
1078,1184,2,3,4,5, ,
1079,1185,5,6,8,9, ,
1080,1186,4,6,8, ,,
1081,1190,1,3,5,6,7, 
